,Name
0,Princeton University
1,Harvard University
2,University of Chicago
3,Yale University
4,Columbia University
5,Stanford University
6,Massachusetts Institute of Technology
7,Duke University
8,University of Pennsylvania
9,Johns Hopkins University
10,Dartmouth College
11,California Institute of Technology
12,Northwestern University
13,Brown University
14,Cornell University
15,Rice University
16,University of Notre Dame
17,Vanderbilt University
18,Washington University in St. Louis
19,Emory University
20,Georgetown University
21,University of California--Berkeley
22,University of Southern California
23,Carnegie Mellon University
24,University of California--Los Angeles
25,University of Virginia
26,Tufts University
27,University of Michigan--Ann Arbor
28,Wake Forest University
29,University of North Carolina--Chapel Hill
30,Boston College
31,College of William & Mary
32,University of Rochester
33,Brandeis University
34,Georgia Institute of Technology
35,New York University
36,Case Western Reserve University
37,University of California--Santa Barbara
38,Boston University
39,Northeastern University
40,Rensselaer Polytechnic Institute
41,Tulane University
42,University of California--Irvine
43,Lehigh University
44,University of California--Davis
45,University of California--San Diego
46,University of Illinois--Urbana-Champaign
47,University of Miami
48,University of Wisconsin--Madison
49,Pepperdine University
50,University of Florida
51,Villanova University
52,Pennsylvania State University--University Park
53,Ohio State University--Columbus
54,University of Washington
55,George Washington University
56,Southern Methodist University
57,University of Georgia
58,University of Texas--Austin
59,Fordham University
60,Purdue University--West Lafayette
61,Syracuse University
62,University of Connecticut
63,University of Maryland--College Park
64,Worcester Polytechnic Institute
65,Clemson University
66,Yeshiva University
67,Brigham Young University--Provo
68,University of Pittsburgh
69,Rutgers University--New Brunswick
70,Baylor University
71,Stevens Institute of Technology
72,University of Minnesota--Twin Cities
73,American University
74,Clark University
75,Texas A&M University--College Station
76,University of Massachusetts--Amherst
77,Virginia Tech
78,Miami University--Oxford
79,University of California--Santa Cruz
80,University of Delaware
81,Colorado School of Mines
82,Michigan State University
83,Texas Christian University
84,University of Iowa
85,Binghamton University--SUNY
86,Indiana University--Bloomington
87,Marquette University
88,University of Denver
89,University of San Diego
90,University of Tulsa
91,Florida State University
92,North Carolina State University--Raleigh
93,University of Colorado--Boulder
94,University of Vermont
95,Drexel University
96,Saint Louis University
97,Stony Brook University--SUNY
98,Auburn University
99,Loyola University Chicago
100,SUNY College of Environmental Science and Forestry
101,University at Buffalo--SUNY
102,Illinois Institute of Technology
103,University of Alabama
104,University of Oregon
105,University of Tennessee
106,Rochester Institute of Technology
107,University of New Hampshire
108,University of San Francisco
109,University of South Carolina
110,Iowa State University
111,University of Dayton
112,University of Missouri
113,University of Nebraska--Lincoln
114,University of Oklahoma
115,University of the Pacific
116,University of Utah
117,Michigan Technological University
118,Seton Hall University
119,Temple University
120,University of California--Riverside
121,University of Kansas
122,University of St. Thomas
123,The Catholic University of America
124,DePaul University
125,Duquesne University
126,Howard University
127,University of Arizona
128,Arizona State University--Tempe
129,Clarkson University
130,Colorado State University
131,New School
132,Hofstra University
133,University of Kentucky
134,Kansas State University
135,Louisiana State University--Baton Rouge
136,Mercer University
137,New Jersey Institute of Technology
138,Rutgers University--Newark
139,University of Arkansas
140,University of Cincinnati
141,University of Mississippi
142,George Mason University
143,Oregon State University
144,Washington State University
145,Adelphi University
146,Ohio University
147,San Diego State University
148,St. John Fisher College
149,University at Albany--SUNY
150,University of Texas--Dallas
151,Illinois State University
152,Immaculata University
153,Oklahoma State University
154,University of California--Merced
155,University of Illinois--Chicago
156,University of La Verne
157,University of Massachusetts--Lowell
158,Seattle Pacific University
159,University of Alabama--Birmingham
160,University of Maryland--Baltimore County
161,University of Rhode Island
162,University of South Florida
163,Biola University
164,Maryville University of St. Louis
165,Missouri University of Science & Technology
166,St. John's University
167,Virginia Commonwealth University
168,Union University
169,University of Hawaii--Manoa
170,Edgewood College
171,Florida Institute of Technology
172,University of Idaho
173,University of Louisville
174,University of Wyoming
175,Ball State University
176,Lipscomb University
177,Mississippi State University
178,Montclair State University
179,Texas Tech University
180,University of Central Florida
181,University of New Mexico
182,Andrews University
183,Azusa Pacific University
184,University of Maine
185,West Virginia University
186,Widener University
187,Kent State University
188,North Dakota State University
189,Pace University
190,Robert Morris University
191,Suffolk University
192,University of Hartford
193,Bowling Green State University
194,University of Houston
195,Western Michigan University
196,Indiana University-Purdue University--Indianapolis
197,Lesley University
198,University of Alabama--Huntsville
199,University of Colorado--Denver
200,University of Nevada--Reno
201,California State University--Fullerton
202,Central Michigan University
203,Louisiana Tech University
204,South Dakota State University
205,University of Alaska--Fairbanks
206,University of North Carolina--Charlotte
207,University of North Dakota
208,University of South Dakota
209,East Carolina University
210,Montana State University
211,Old Dominion University
212,University of Missouri--Kansas City
213,Ashland University
214,Dallas Baptist University
215,Northern Illinois University
216,Nova Southeastern University
217,Southern Illinois University--Carbondale
218,University of Montana
219,Benedictine University
220,California State University--Fresno
221,Gardner-Webb University
222,New Mexico State University
223,Shenandoah University
224,Tennessee Technological University
225,University of Massachusetts--Boston
226,University of Massachusetts--Dartmouth
227,University of Missouri--St. Louis
228,University of North Carolina--Greensboro
229,University of Southern Mississippi
230,Utah State University
